🕘️更新时间,#genre#
2025-02-03 06:21:19,http://lt.hxtre.com:35455/gaoma/cctv1.m3u8

📺央视频道,#genre#
CCTV-1,http://lt.hxtre.com:35455/gaoma/cctv1.m3u8
CCTV-2,http://lt.hxtre.com:35455/gaoma/cctv2.m3u8
CCTV-3,http://lt.hxtre.com:35455/gaoma/cctv3.m3u8
CCTV-4,http://lt.hxtre.com:35455/gaoma/cctv4k.m3u8
CCTV-5,http://lt.hxtre.com:35455/gaoma/cctv5.m3u8
CCTV-5+,http://lt.hxtre.com:35455/gaoma/cctv5p.m3u8
CCTV-6,http://lt.hxtre.com:35455/gaoma/cctv6.m3u8
CCTV-7,http://lt.hxtre.com:35455/gaoma/cctv7.m3u8
CCTV-8,http://lt.hxtre.com:35455/gaoma/cctv8k_36m.m3u8
CCTV-9,http://lt.hxtre.com:35455/gaoma/cctv9.m3u8
CCTV-10,http://lt.hxtre.com:35455/gaoma/cctv10.m3u8
CCTV-11,http://lt.hxtre.com:35455/gaoma/cctv11.m3u8
CCTV-12,http://lt.hxtre.com:35455/gaoma/cctv12.m3u8
CCTV-13,http://lt.hxtre.com:35455/gaoma/cctv13.m3u8
CCTV-14,http://lt.hxtre.com:35455/gaoma/cctv14.m3u8
CCTV-15,http://lt.hxtre.com:35455/gaoma/cctv15.m3u8
CCTV-16,http://lt.hxtre.com:35455/gaoma/cctv16.m3u8
CCTV-17,http://lt.hxtre.com:35455/gaoma/cctv17.m3u8
CCTV-4K,http://home.wwang.pw:35455/gaoma/cctv4k.m3u8
CCTV-8K,http://home.wwang.pw:35455/gaoma/cctv8k_36m.m3u8
CETV1,http://120.55.49.231:3095/rtp/233.50.201.75:5140
CETV2,http://139.129.231.228:50060/rtp/239.21.2.8:5002
CETV4,http://120.55.49.231:3095/rtp/233.50.200.162:5140

📡卫视频道,#genre#
广东卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226248
浙江卫视,http://zhfivel02.cztv.com/channel01/1080p.m3u8?auth_key=2524708799-0-0-adde67b1b344fdd5e512f30a4ae31915
湖南卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226307
北京卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226450
湖北卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226477
黑龙江卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226585
安徽卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226391
重庆卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226409
东方卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226345
东南卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226341
甘肃卫视,rtmp://livein.gstv.com.cn/49048r/y3nga4.flv
广西卫视,http://tvpull.careryun.com/tv/cn_gxws.m3u8
贵州卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226474
海南卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226465
河北卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226406
河南卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226480
吉林卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226397
江苏卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226310
江西卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226344
辽宁卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226546
内蒙古卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225634
宁夏卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225632
青海卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225628
山东卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226456
山西卫视,http://110.53.52.63:8888/newlive/live/hls/43/live.m3u8
陕西卫视,http://goo.bkpcp.top/mg/sxws
四川卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226338
深圳卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226313
三沙卫视,http://61.138.128.226:19901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226459
西藏卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225638
新疆卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225635
云南卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226444

☘️浙江频道,#genre#
浙江钱江,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
浙江钱江都市,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
浙江钱江台,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
浙江生活,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8?
浙江经济生活,http://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江教育,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8?
浙江民生,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8?
浙江新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8?
浙江少儿,https://ct-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
杭州综合,http://goo.bkpcp.top/mg/hzzh
杭州明珠,http://goo.bkpcp.top/mg/hzmz
杭州生活,http://goo.bkpcp.top/mg/hzsh
杭州影视,http://goo.bkpcp.top/mg/hzys
杭州青少,http://120.55.49.231:3095/rtp/233.50.201.177:5140
杭州少体,http://goo.bkpcp.top/mg/hzse
杭州导视,http://120.55.49.231:3095/rtp/233.50.201.182:5140
宁波TV1,http://www.jeremyoto.com:82/rtp/233.50.201.168:5140
宁波TV2,http://www.jeremyoto.com:82/rtp/233.50.201.178:5140
宁波TV3,http://www.jeremyoto.com:82/rtp/233.50.201.179:5140
宁波TV4,http://www.jeremyoto.com:82/rtp/233.50.201.180:5140
浙江教科,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江经济,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
之江纪录,http://goo.bkpcp.top/mg/zjjl
浙江国际,https://ct-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
丽水新闻,http://120.55.49.231:3095/rtp/233.50.201.162:5140
衢州公共,http://120.55.49.231:3095/rtp/233.50.202.12:5140
浙江经视,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江民生休闲,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8?
浙江数码时代,http://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江教科影院,http://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江教科影视,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
